,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
136982,2.01E+16,2014,8,24,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Ballygawley,54.462836,-7.026944,1,0,Dungannon,"08/24/2014: Assailants used heavy machinery to attack the vehicle of Sammy Brush in Ballygawley village, Dungannon district, Northern Ireland, United Kingdom. There were no reported casualties; however, two vehicles, including the vehicle belonging to Brush, a Government of Dungannon and South Tyrone councilor, were damaged in the incident. No group claimed responsibility for the attack.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Dungannon and South Tyrone,Vehicle of Councilor: Sammy Brush,233,Northern Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A large heavy plant type vehicle was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,Two vehicles were damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Sammy Brush: DUP councillor in Ballygawley 'targeted for 40th time',"" BBC, August 24, 2014.","""DUP councillor attacked 'for 40th time',"" UTV, August 24, 2014.",,START Primary Collection,-9,-9,1,1,
137331,2.01E+16,2014,9,2,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Qalqilya,32.187788,34.974376,1,1,,"09/02/2014: An assailant drove a vehicle through an Israeli security checkpoint in an attempt to run over soldiers near Qalqilya town, West Bank, West Bank and Gaza Strip. The assailant was killed and two more people were wounded. No group claimed responsibility for the incident; however, sources attributed the attack to Palestinian extremists.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,4,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Checkpoint,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,8,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Israeli troops shoot dead Palestinian attempting to break through checkpoint,"" Xinhua News Agency, September 2, 2014.","""Arab Terrorist Shot after Attempting to Run Down Soldier,"" Israel National News, September 2, 2014.",,START Primary Collection,0,0,0,0,
139510,2.01E+15,2014,10,22,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,,"10/22/2014: An assailant in a vehicle attempted to run over civilians in Jerusalem city, West Bank, West Bank and Gaza Strip. At least two people, inlcuding one citizen from the United States (US), were killed and seven others, including two citizens from the United States (US), were injured in the attack. Additionally, the assailant was killed by police as he attempted to flee. No group claimed responsibility; however, officials attributed the incident to Hamas (Islamic Resistance Movement).",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,100,Train/Train Tracks/Trolley,Jerusalem Light Rail,Ammunition Hill Tram Stop,97,Israel,14,Private Citizens & Property,68,Named Civilian,Not Applicable,Baby: Haya Zissel Braun,217,United States,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,59,Ecuador,Hamas (Islamic Resistance Movement),,,,,,"The specific motive is unknown; however, Hamas issued a statement in which it claimed that this attack was in response to ""the occupation and invasion of our land.""",0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A Volkswagen was used in the attack.,3,1,1,7,2,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Ecuador woman hurt in Jerusalem car attack dies: hospital,"" Agence France Presse -- English, October 26, 2014.","""Jerusalem car 'attack' kills baby at rail station,"" BBC Online, October 23, 2014.","""Driver in Jerusalem   attack   a Hamas member: Israel,"" Agence France Presse -- English, October 22, 2014.",START Primary Collection,0,1,1,1,
140096,2.01E+16,2014,11,5,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.7716,35.203401,1,0,,"11/05/2014: An assailant drove a vehicle into civilians at a light rail stop in Jerusalem city, Jerusalem district, Israel. At least four people, including a police officer and the assailant, were killed and 12 others, including one citizen of the United States (US), were wounded in the attack. Hamas (Islamic Resistance Movement) claimed responsibility and stated that the incident was in retaliation for alleged abuses at Al-Aqsa Mosque.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officer: Jidan Assad,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,Hamas (Islamic Resistance Movement) claimed responsibility for the incident and stated that the attack was carried out in retaliation to alleged abuses at Al-Aqsa Mosque.,0,,,0,1,0,1,10,Unknown,,,,,,,,9,Melee,21,Blunt Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A metal crowbar and a vehicle were used in the attack.,4,0,1,12,1,0,1,3,Minor (likely < $1 million),-99,Two vehicles were damaged in this attack.,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Arab man wounded during November Jerusalem terrorist attack dies,"" Jerusalem Post, December 8, 2014.","""Police kill Palestinian after Jerusalem car   attack   wounds 10,"" Agence France Presse -- English, November 5, 2014.","""Terror in Jerusalem: Police shoot dead driver who rammed car into light rail station,"" Jerusalem Post, November 5, 2014.",START Primary Collection,1,0,0,1,
140097,2.01E+16,2014,11,5,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,1,The incident occurred near the Gush Etzion junction.,"11/05/2014: An assailant drove a vehicle into Israel Defense Forces (IDF) soldiers in Gush Etsyon area, West Bank, West Bank and Gaza Strip. Three soldiers were wounded in the attack. Hamam Mesalmeh, a Palestinian extremist, claimed responsibility for the incident, stating the attack was in retaliation for Israel's military operations in summer 2014.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,"A Palestinian extremist, identified as Hamam Mesalmeh, claimed responsibility for the incident and stated that the attack was carried out in retaliation to Israel's military operations in summer 2014.",0,,,0,1,1,1,8,Personal claim,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,3,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Palestinian driver hits Israeli soldiers in West Bank,"" Agence France Presse -- English, November 5, 2014.","""Three IDF soldiers injured by Palestinian van in feared West Bank terror attack,"" Jerusalem Post, November 5, 2014.","""Driver Who Rammed Into IDF Soldiers in Gush Etzion Turns Himself in,"" Algemeiner.com, November 6, 2014.",START Primary Collection,0,0,0,0,
141881,2.01E+16,2014,12,21,,0,,69,France,8,Western Europe,Burgundy,Dijon,47.322047,5.04148,1,0,,"12/21/2014: An assailant attempted to run over pedestrians in his vehicle in Dijon city, Burgundy department, France. At least 11 civilians were injured in the attack. An individual, identified as Nassir, claimed responsibility and stated that the attack was carried out in retaliation for the treatment of children in the West Bank and Gaza Strip.",1,1,1,1,4,Lack of Intentionality,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,69,France,,,,,,,,,,,,,,,,,Unknown,,,,,,"An individual, identified as Nassir, claimed responsibility for the incident and stated that the attack was carried out in retaliation to the treatment of children in the West Bank and Gaza Strip.",0,,,1,1,1,1,8,Personal claim,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,11,0,0,1,3,Minor (likely < $1 million),-99,Unspecified property was damaged in this attack.,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here. There is doubt that this incident meets terrorism-related criteria. While the assailant did identify a motive for the attack, sources also stated that he had been hospitalized for psychiatric problems on 157 separate occasions.","""France Dijon: Driver targets city pedestrians,"" BBC, December 22, 2014.","""Dijon driving attack suspect has history of mental illness, no terror links,"" CBC, December 22, 2014.","""French-language Islamic bulletin for 18-23 December 2014,"" OSC Summary, December 23, 2014.",START Primary Collection,-9,-9,0,-9,
145318,2.02E+16,2015,3,6,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred at a tram stop on Shimon HaTzadik street on the border between East and West Jerusalem,"03/06/2015: An assailant rammed a vehicle near Israeli Border Police in Jerusalem city, West Bank and Gaza Strip. The assailant then continued to a nearby light rail station, where he struck a bicyclist. Finally, the assailant exited the vehicle and attempted to attack police before being shot by security forces. In addition to the assailant, five people, including four police officers and a civilian, were wounded in the attack. A Palestinian extremist, identified as Mohammad Salima, claimed responsibility for the incident.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,19,Transportation,100,Train/Train Tracks/Trolley,Jerusalem Light Rail,Train Station,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,1,7,"Posted to website, blog, etc.",,,,,,,,9,Melee,23,Knife or Other Sharp Object,9,Melee,21,Blunt Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,"A knife, a tire iron, and a vehicle were used in the attack.",0,0,0,6,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Palestinian Assailant Injures 5 Israelis in Car Attack,"" New York Times, March 6, 2015.","""Palestinian rams car into pedestrians;  ISRAEL,"" i-Independent Print Ltd, March 7, 2015.","""Palestinian driver rams into Jerusalem tram stop, injuring police,"" Melbourne Age, March 7, 2015.",START Primary Collection,0,0,0,0,
146886,2.02E+16,2015,4,15,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred in the French Hill area.,"04/15/2015: An assailant rammed his vehicle into a bus stop in French Hill neighborhood, Jerusalem city, West Bank, West Bank and Gaza Strip. A civilian was killed and two others, including the assailant, were injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,Unknown,Bus Stop,155,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,0,2,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Police spokesman: Two civilians that were hit by car were victims of terrorist attack,"" Jerusalem Post, April 16, 2015.","""Israeli dies after possible J'lem car ramming attack,"" Haaretz, April 16, 2015.","""Second victim of Jerusalem terror attack still in serious condition,"" The Times Of Israel, April 19, 2015.",START Primary Collection,0,0,0,0,
147308,2.02E+16,2015,4,25,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred in the Altur neighborhood.,"04/25/2015: An assailant drove a car into a group of Israeli Border Police officers in E-Tur neighborhood, East Jerusalem, West Bank and Gaza Strip. Four officers were wounded in the attack. No group claimed responsibility for the incident; however, authorities identified the assailant as Fadi Saleh, a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Suspect in Saturday's vehicular terror attack confirmed as Palestinian man, 32 from Shuafat,"" Jerusalem Post, April 26, 2015.","""Four Police Officers Wounded in Jerusalem Car Ramming Terror Attack,"" Algemeiner.com, April 26, 2015.",,START Primary Collection,0,0,0,0,
148105,2.02E+16,2015,5,14,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,0,,"05/14/2015: An assailant drove a vehicle into a group Israeli civilians at a hitchhiking post in Alon Shvut junction, West Bank. Four students were injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as a Palestinian Extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A black Subaru sedan was used in the attack.,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Suspected terror attack: Four hurt in hit and,"" Ynet News, May 15, 2015.","""Two Injured in Jerusalem Car Terror Attack,"" Israel National News, May 20, 2015.","""4 wounded when terrorist drives car into hitchhiking post,"" Israel Hayom, May 15, 2015.",START Primary Collection,0,0,0,0,
148348,2.02E+16,2015,5,20,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred in Altur neighborhood,"05/20/2015: An assailant targeted Border Police officers with a vehicle in A-Tur neighborhood, Jerusalem city, West Bank, West Bank and Gaza Strip. The assailant was killed and at least two officers were injured in the attack. No group claimed responsibility for the incident; however, a police official identified the assailant as Amran Abu Dhein and stated that he was affiliated with Hamas (Islamic Resistance Movement).",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,,,,,,,,,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""Palestinian driver rams 2 police, shot dead: Israel,"" Agence France Presse -- English, May 20, 2015.","""Terrorist shot dead after running down 2 Border Police officers in east Jerusalem,"" Jerusalem Post, May 20, 2015.","""Soldier recalls death of Jerusalem attacker,"" Ynet News, May 20, 2015.",START Primary Collection,0,0,0,0,
149849,2.02E+16,2015,6,26,,0,,69,France,8,Western Europe,Rhone-Alpes,Saint-Quentin-Fallavier,45.641734,5.124706,1,0,,"06/26/2015: An assailant attacked an Air Products factory in Saint-Quentin-Fallavier town, Rhone-Alpes province, France. The assailant beheaded a supervisor and hung his head from a fence before driving a vehicle into a gas-filled warehouse. In addition to the slain supervisor, two other employees were injured in the attack. An individual, identified as Yassin Salhi, claimed responsibility for the incident.",1,1,1,0,,,0,1,0,5,Hostage Taking (Barricade Incident),3,Bombing/Explosion,8,Unarmed Assault,1,Business,5,Industrial/Textiles/Factory,Air Products,Factory,69,France,,,,,,,,,,,,,,,,,Jihadi-inspired extremists,,,,,,,0,,,1,1,1,1,8,Personal claim,,,,,,,,6,Explosives,16,Unknown Explosive Type,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,A knife was used in the attack.,1,0,0,2,0,0,1,3,Minor (likely < $1 million),-99,A warehouse building was damaged in this attack.,1,1,0,-99,,,,0,,,,,,4,Hostage(s) killed (not during rescue attempt),0,,"""French attack suspect took 'selfie' with slain victim,"" Al Jazeera, June 28, 2015.","""France: One Decapitated in 'Terrorist' Attack on Gas Factory,"" AFP (North European Service), June 26, 2015.","""French terrorist attack had 'Islamic State' hallmark, says prosecutor,"" Deutsche Welle, June 30, 2015.",START Primary Collection,-9,-9,0,-9,
150035,2.02E+16,2015,6,30,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kalandiya,31.861471,35.208428,1,0,,"06/30/2015: An assailant attempted to run over Israel Defense Forces (IDF) soldiers at a checkpoint with a vehicle in Kalandiya, West Bank. The assailant was shot by security forces and wounded in the attack. No group claimed responsibility; however, sources attributed the incident to Palestinian extremists.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,8,Unarmed Assault,,,,,4,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Security forces shoot, wound Palestinian at Qalandiya checkpoint,"" Ynet News, June 30, 2015.","""Terrorist Attack Thwarted Near Jerusalem,"" Israel National News, June 30, 2015.",,START Primary Collection,0,0,0,0,
151553,2.02E+16,2015,8,6,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Shilo,32.049988,35.289762,1,1,,"08/06/2015: An assailant drove his vehicle into a group of Israel Defense Forces (IDF) soldiers near Shiloh junction, West Bank. Three soldiers were injured in the attack and the assailant was injured when the soldiers opened fire. No group claimed responsibility for the incident; however, sources identified the assailant as Raid Mohammed Badwan, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,4,0,1,0,,,,,0,,,,,,,,,,,,,,,,The victims included Lieutenant Daniel Elvaz.,"""Palestinian strikes three IDF soldiers with vehicle in West Bank terror attack,"" Jerusalem Post, August 6, 2015.","""Israeli man lightly wounded in stabbing near roadblock north of Jerusalem,"" Haaretz, August 9, 2015.","""Three IDF soldiers wounded in vehicular attack,"" Ynet News, August 6, 2015.",START Primary Collection,0,0,0,0,
152495,2.02E+16,2015,8,29,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Hebron,31.530243,35.094162,1,1,,"08/29/2015: An assailant drove his vehicle into Israel Defense Forces (IDF) soldiers near Hebron, West Bank. One soldier was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Palestinian extremists.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Israeli soldier lightly wounded in suspected vehicular attack near Hebron,"" Haaretz, August 29, 2015.","""Suspected attempt at vehicular attack prompts soldiers to fire at Palestinian vehicle,"" Ynet News, August 29, 2015.","""IDF soldier lightly injured after being hit by vehicle near Hebron,"" i24news, August 29, 2015.",START Primary Collection,0,0,0,0,
153957,2.02E+15,2015,10,7,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Maale Adumim,31.77347,35.298909,1,0,,"10/07/2015: An assailant rammed his vehicle into an Israeli Border Police checkpoint in Maale Adumim area, West Bank and Gaza Strip. At least three people, two police officers and the assailant, were wounded in the attack. No group claimed responsibility; however, sources identified the assailant as a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,3,0,1,-9,,,,It is unknown if any property was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Palestinian car-ramming attack injures 2 Israeli police officers,"" JTA, October 7, 2015.",,,START Primary Collection,0,0,0,0,
154128,2.02E+15,2015,10,11,,0,,97,Israel,10,Middle East & North Africa,Haifa,Gan Shmuel,32.453036,34.949297,1,0,,"10/11/2015: An assailant ran his car into two people at a bus stop and then emerged with a knife near Hadera area, Gan Shmuel town, Haifa district, Israel. Four people were injured either by the car crash or the subsequent stabbing. The assailant was arrested by security forces after the assault. No group claimed responsibility; however, sources named the assailant as Ala Zwid, a Palestinian extremist.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A knife and car were used in the attack.,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates have been reported here.","""Suspected terror attack: 3 wounded at Kibbutz Gan Shmuel in central Israel,"" Jerusalem Post, October 11, 2015.","""Soldier in critical condition after attack near Hadera,"" Ynet News, October 11, 2015.","""Three Israelis Hurt in Stabbing Attack in Central Israel; Perpetrator Apprehended by Police,"" OSC Summary, October 11, 2015.",START Primary Collection,1,0,0,1,
154219,2.02E+15,2015,10,13,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.7716,35.203401,1,0,The incident occurred on Malkei Israel street in the Guela neighborhood.,"10/13/2015: An assailant drove his car into a bus stop, exited his car, and began stabbing civilians on Malkei Israel street in Guela neighborhood, Jerusalem city, Israel. One civilian was killed and three others, including the assailant, were wounded in the attack. No group claimed responsibility for the incident; however sources identified the assailant as Abu Jamal, a Palestinian extremist.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,19,Transportation,101,Bus Station/Stop,Unknown,Bus Stop,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A meat cleaver and car were used in the attack.,1,0,0,3,0,1,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the lowest reliable estimates are reported here.","""Breaking: More than 20 wounded in 2 separate terror attacks in Jerusalem,"" Jerusalem Post, October 13, 2015.","""Three Dead, More Than 20 Injured in Shootings, Stabbings,"" NBCNews.com, October 13, 2015.","""At least 21 critically wounded in two simultaneous Jerusalem attacks,"" Ynet News, October 13, 2015.",START Primary Collection,1,0,0,1,
154523,2.02E+15,2015,10,20,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,1,The incident occurred at the Gush Etzion junction.,"10/20/2015: An assailant in a vehicle rammed into Israeli civilians at Gush Etzion junction near Alon Shvut, West Bank. Following the initial attack, the assailant exited the vehicle and attempted to stab the civilians. The assailant was killed and at least two people were injured in the ensuing clash. No group claimed responsibility; however, sources identified the assailant, Hamzeh Moussa al-Imla, as a Palestinian extremist.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A knife and a vehicle were used in the attack.,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""2 Israelis Wounded in Car-Ramming Attack at Gush Etzion Junction,"" Algemeiner.com, October 20, 2015.","""Car attack injures 2 Israeli soldiers, driver killed,"" Qatar Peninsula, October 20, 2015.","""TWO PALESTINIAN TEENS SHOT DEAD IN HEBRON AFTER ALLEGED ATTACK ON SOLDIER,"" NAM News Network, October 21, 2015.",START Primary Collection,0,0,0,0,
154558,2.02E+15,2015,10,21,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ofra,31.955101,35.260324,1,1,,"10/21/2015: An assailant rammed a vehicle into an Israeli Border Police checkpoint near Ofra settlement, West Bank. At least one police officer was injured in the attack. No group claimed responsibility; however, sources identified the assailant as a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Checkpoint,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,0,1,3,Minor (likely < $1 million),-99,A checkpoint was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Five West Bank terrorist attacks leave six Israelis wounded. Eisenkot: There is no clear solution to this problem,"" The Jerusalem Post, October 22, 2015.","""1 Israeli Lightly Wounded in Palestinian Car-Ramming Attack,"" Algemeiner.com, October 21, 2015.","""Suspected Car Attack in Samaria,"" Israel National News, October 21, 2015.",START Primary Collection,0,0,0,0,
